name, #cloc lines, #code blocks, #blocks inferred as consts, #load memory blocks, #blocks - #const, #const %, #Unique variants, # Variants
./Extract_file_extension,37, 23,13, 9, 10,56%,2,738
./Multiplication_tables,13, 35,22, 22, 13,62%,75,11789
./Paraffins,43, 95,57, 56, 38,60%,2,23
./Iterated_digits_squaring,36, 63,37, 36, 26,58%,2,3
./Copy_a_string,32, 6,3, 2, 3,50%,6,4054
./Egyptian_division,35, 57,37, 36, 20,64%,2,3
./Longest_increasing_subsequence,34, 40,28, 28, 12,70%,2,4
./Sorting_Algorithms-Circle_Sort,24, 46,29, 20, 17,63%,2,3
./Sequence:_smallest_number_greater_than_previous_term_with_exactly_n_divisors,26, 32,19, 18, 13,59%,2,202
./Jewels_and_Stones,12, 10,6, 4, 4,60%,2,4120
./Sort_using_a_custom_comparator,18, 10,8, 5, 2,80%,2,23
./The_Twelve_Days_of_Christmas,44, 36,20, 18, 16,55%,2,3
./Averages-Mode,39, 63,40, 34, 23,63%,2,4
